Ragione Sociale,Forma Giuridica,Settore,Anno Fondazione,Partita IVA,Categoria,Dipendenti,Fatturato (milioni €),Telefono,Email,Sito Web,Indirizzo,CAP,Città,Provincia,Descrizione
De Luca - Esposito S.r.l.,S.r.l.,Tessile,2020,97790826892,Micro impresa,8,1.57,+39 010 6631155,info@delucaesposito.it,https://www.delucaesposito.it,"Viale delle Nazioni, 48 - 10182 Torino (TO)",10182,Torino,TO,"Fondata nel 2020, la nostra azienda opera nel settore tessile con 8 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Arredoitalia S.a.s.,S.a.s.,Meccanica,1973,40754433223,Piccola impresa,22,5.3,+39 055 1865069,vendite@arredoitalia.it,,"Via XX Settembre, 128 - 00112 Roma (RM)",00112,Roma,RM,"Fondata nel 1973, la nostra azienda opera nel settore meccanica con 22 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
S.I. S.a.s.,S.a.s.,Trasporti,2012,57180505372,Micro impresa,4,0.65,+39 091 9102889,contatti@si.it,https://www.si.it,"Via Europa, 42 - 46041 Catania (CT)",46041,Catania,CT,Azienda a conduzione familiare con 13 anni di esperienza nel settore trasporti. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 0.65 milioni di euro.
Mancini-Giordano S.n.c.,S.n.c.,Commercio,2022,53361248601,Piccola impresa,48,2.16,+39 045 2319677,amministrazione@mancinigiordano.it,https://www.mancinigiordano.it,"Via Galilei, 20 - 68022 Palermo (PA)",68022,Palermo,PA,"Fondata nel 2022, la nostra azienda opera nel settore commercio con 48 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
E.S.I. S.p.A.,S.p.A.,Servizi alle imprese,2003,43793576374,Piccola impresa,47,5.83,+39 010 3634416,amministrazione@esi.it,https://www.esi.it,"Via delle Industrie, 175 - 69033 Modena (MO)",69033,Modena,MO,"Da oltre 22 anni siamo specializzati nel settore servizi alle imprese. La nostra azienda, con sede a Modena, conta 47 collaboratori e un fatturato di 5.83 milioni di euro."
U.Z.B. S.a.s.,S.a.s.,Servizi alla persona,2005,72548941452,Piccola impresa,41,4.42,+39 045 1175146,uzb@hotmail.it,,"Via Roma, 158 - 33092 Parma (PR)",33092,Parma,PR,"PMI italiana attiva nel settore servizi alla persona dal 2005. Con 41 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Marino Trasporti S.r.l.,S.r.l.,ICT,2016,68020569180,Media impresa,117,37.11,+39 011 2217370,vendite@marinotrasporti.it,https://www.marinotrasporti.it,"Via Fermi, 171 - 44014 Modena (MO)",44014,Modena,MO,Azienda a conduzione familiare con 9 anni di esperienza nel settore ict. Siamo una media impresa con 117 dipendenti e un fatturato annuo di 37.11 milioni di euro.
Giordano - Colombo S.r.l.,S.r.l.,Servizi alla persona,2019,21851456678,Micro impresa,4,0.3,+39 011 9982325,contatti@giordanocolombo.it,https://www.giordanocolombo.it,"Via Garibaldi, 149 - 41047 Cagliari (CA)",41047,Cagliari,CA,"PMI italiana attiva nel settore servizi alla persona dal 2019. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Rossi & Bruno S.n.c.,S.n.c.,Chimica,2016,60329980955,Micro impresa,2,0.29,+39 338 2050485,vendite@rossiebruno.it,,"Via II Giugno, 153 - 70163 Bari (BA)",70163,Bari,BA,Azienda a conduzione familiare con 9 anni di esperienza nel settore chimica. Siamo una micro impresa con 2 dipendenti e un fatturato annuo di 0.29 milioni di euro.
K.Q.N. Società cooperativa,Società cooperativa,Plastica,2020,63917001370,Piccola impresa,40,9.08,+39 081 6065966,contatti@kqn.it,,"Via Roma, 127 - 79041 Vicenza (VI)",79041,Vicenza,VI,"PMI italiana attiva nel settore plastica dal 2020. Con 40 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Termosystem S.a.s.,S.a.s.,Tessile,2023,28868619929,Micro impresa,3,1.23,+39 049 1207042,vendite@termosystem.it,,"Via XX Settembre, 139 - 33036 Parma (PR)",33036,Parma,PR,"Fondata nel 2023, la nostra azienda opera nel settore tessile con 3 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Toscana Vetro S.r.l.,S.r.l.,Edilizia,2016,78416063656,Micro impresa,1,1.83,+39 010 3621713,contatti@toscanavetro.it,,"Viale delle Nazioni, 41 - 58050 Pescara (PE)",58050,Pescara,PE,"Realtà imprenditoriale italiana fondata nel 2016, specializzata nel settore edilizia. La nostra struttura conta 1 professionisti qualificati e ha un fatturato di 1.83 milioni di euro."
P.Q.Q.T. S.p.A.,S.p.A.,ICT,2003,80910952521,Micro impresa,3,1.04,+39 010 6832043,amministrazione@pqqt.it,https://www.pqqt.it,"Via XX Settembre, 38 - 30033 Venezia (VE)",30033,Venezia,VE,"PMI italiana attiva nel settore ict dal 2003. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Bruno-Rossi S.r.l.,S.r.l.,Chimica,2015,39272445715,Piccola impresa,18,2.44,+39 051 6693111,contatti@brunorossi.it,,"Via dell'Artigianato, 3 - 34044 Venezia (VE)",34044,Venezia,VE,"Da oltre 10 anni siamo specializzati nel settore chimica. La nostra azienda, con sede a Venezia, conta 18 collaboratori e un fatturato di 2.44 milioni di euro."
Lazio Tessile S.n.c.,S.n.c.,Agricoltura,2018,25611390534,Micro impresa,1,0.99,+39 055 5078792,amministrazione@laziotessile.it,https://www.laziotessile.it,"Via Marconi, 195 - 20152 Milano (MI)",20152,Milano,MI,"Realtà imprenditoriale italiana fondata nel 2018, specializzata nel settore agricoltura. La nostra struttura conta 1 professionisti qualificati e ha un fatturato di 0.99 milioni di euro."
Marino Trasporti S.r.l.,S.r.l.,Elettronica,2017,82529991838,Micro impresa,3,0.45,+39 347 3454048,ufficio@marinotrasporti.it,,"Via del Lavoro, 146 - 80109 Napoli (NA)",80109,Napoli,NA,"Realtà imprenditoriale italiana fondata nel 2017, specializzata nel settore elettronica. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 0.45 milioni di euro."
Mancini-Ricci S.r.l.,S.r.l.,Agricoltura,2008,00898428116,Micro impresa,7,1.4,+39 091 7274083,vendite@manciniricci.it,https://www.manciniricci.it,"Via del Lavoro, 64 - 00158 Roma (RM)",00158,Roma,RM,"Realtà imprenditoriale italiana fondata nel 2008, specializzata nel settore agricoltura. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 1.4 milioni di euro."
Ferrari e Bianchi S.n.c.,S.n.c.,Servizi alla persona,2019,62175082919,Micro impresa,5,0.47,+39 06 3592023,info@ferrariebianchi.it,https://www.ferrariebianchi.it,"Via Roma, 28 - 17095 Parma (PR)",17095,Parma,PR,"Da oltre 6 anni siamo specializzati nel settore servizi alla persona. La nostra azienda, con sede a Parma, conta 5 collaboratori e un fatturato di 0.47 milioni di euro."
Vetromec,Ditta individuale,Commercio,2021,82681256821,Micro impresa,5,0.87,+39 081 3741930,info@vetromec.it,https://www.vetromec.it,"Via Milano, 53 - 37113 Verona (VR)",37113,Verona,VR,"PMI italiana attiva nel settore commercio dal 2021. Con 5 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
W.A. S.n.c.,S.n.c.,Servizi alle imprese,2009,51819699947,Micro impresa,2,0.39,+39 338 7838924,amministrazione@wa.it,https://www.wa.it,"Via IV Novembre, 98 - 10172 Torino (TO)",10172,Torino,TO,"Realtà imprenditoriale italiana fondata nel 2009, specializzata nel settore servizi alle imprese. La nostra struttura conta 2 professionisti qualificati e ha un fatturato di 0.39 milioni di euro."
Rossi Costruzioni S.r.l.,S.r.l.,ICT,1999,17563535216,Micro impresa,7,0.11,+39 051 384823,ufficio@rossicostruzioni.it,https://www.rossicostruzioni.it,"Via IV Novembre, 109 - 25061 Bergamo (BG)",25061,Bergamo,BG,"PMI italiana attiva nel settore ict dal 1999. Con 7 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Umbria Edile S.r.l.,S.r.l.,Commercio,2004,23460582478,Micro impresa,3,1.74,+39 328 2321576,amministrazione@umbriaedile.it,https://www.umbriaedile.it,"Via dell'Industria, 39 - 40170 Bologna (BO)",40170,Bologna,BO,Azienda a conduzione familiare con 21 anni di esperienza nel settore commercio. Siamo una micro impresa con 3 dipendenti e un fatturato annuo di 1.74 milioni di euro.
Marino Servizi S.r.l.,S.r.l.,Servizi alle imprese,2002,32316257004,Micro impresa,1,0.67,+39 051 9907612,ufficio@marinoservizi.it,https://www.marinoservizi.it,"Via Milano, 13 - 37145 Verona (VR)",37145,Verona,VR,Azienda a conduzione familiare con 23 anni di esperienza nel settore servizi alle imprese. Siamo una micro impresa con 1 dipendenti e un fatturato annuo di 0.67 milioni di euro.
Colombo Servizi S.n.c.,S.n.c.,Servizi alla persona,2002,77804964111,Micro impresa,4,1.58,+39 081 7339292,info@colomboservizi.it,https://www.colomboservizi.it,"Viale delle Nazioni, 94 - 30071 Udine (UD)",30071,Udine,UD,"PMI italiana attiva nel settore servizi alla persona dal 2002. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Moretti e Lombardi S.n.c.,S.n.c.,Servizi alla persona,2019,24207766181,Micro impresa,3,1.93,+39 02 9559997,ufficio@morettielombardi.it,https://www.morettielombardi.it,"Viale della Repubblica, 103 - 50029 Parma (PR)",50029,Parma,PR,Azienda a conduzione familiare con 6 anni di esperienza nel settore servizi alla persona. Siamo una micro impresa con 3 dipendenti e un fatturato annuo di 1.93 milioni di euro.
Ecosolutions S.r.l.,S.r.l.,Legno e arredo,2003,17534714218,Micro impresa,1,1.07,+39 091 1083665,amministrazione@ecosolutions.it,https://www.ecosolutions.it,"Viale della Libertà, 18 - 37143 Verona (VR)",37143,Verona,VR,"Realtà imprenditoriale italiana fondata nel 2003, specializzata nel settore legno e arredo. La nostra struttura conta 1 professionisti qualificati e ha un fatturato di 1.07 milioni di euro."
Marche Impianti S.a.s.,S.a.s.,Artigianato,2002,75104156276,Micro impresa,5,0.19,+39 360 8370079,amministrazione@marcheimpianti.it,https://www.marcheimpianti.it,"Via dell'Artigianato, 130 - 62099 Bolzano (BZ)",62099,Bolzano,BZ,"PMI italiana attiva nel settore artigianato dal 2002. Con 5 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Romagna Edile S.r.l.,S.r.l.,Plastica,2021,06960889658,Micro impresa,7,0.97,+39 393 7655556,info@romagnaedile.it,https://www.romagnaedile.it,"Via Bologna, 44 - 53076 Pescara (PE)",53076,Pescara,PE,"Realtà imprenditoriale italiana fondata nel 2021, specializzata nel settore plastica. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 0.97 milioni di euro."
Conti-Esposito S.r.l.s.,S.r.l.s.,ICT,2019,06403534344,Micro impresa,7,1.27,+39 327 7529809,vendite@contiesposito.it,https://www.contiesposito.it,"Via Garibaldi, 154 - 76039 Vicenza (VI)",76039,Vicenza,VI,"PMI italiana attiva nel settore ict dal 2019. Con 7 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Autoservice Società cooperativa,Società cooperativa,Metalmeccanica,2003,73204776600,Micro impresa,1,0.9,+39 010 4847922,info@autoservice.it,https://www.autoservice.it,"Via Firenze, 76 - 80158 Napoli (NA)",80158,Napoli,NA,"Realtà imprenditoriale italiana fondata nel 2003, specializzata nel settore metalmeccanica. La nostra struttura conta 1 professionisti qualificati e ha un fatturato di 0.9 milioni di euro."
Esposito Legno S.r.l.,S.r.l.,Commercio,1964,93490120290,Micro impresa,3,1.11,+39 06 304648,ufficio@espositolegno.it,https://www.espositolegno.it,"Via Garibaldi, 156 - 90020 Reggio Emilia (RE)",90020,Reggio Emilia,RE,"Realtà imprenditoriale italiana fondata nel 1964, specializzata nel settore commercio. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 1.11 milioni di euro."
Romagna Impianti S.n.c.,S.n.c.,Servizi alle imprese,1999,23540205877,Micro impresa,4,1.87,+39 081 4622221,amministrazione@romagnaimpianti.it,,"Via Garibaldi, 40 - 40087 Perugia (PG)",40087,Perugia,PG,"Fondata nel 1999, la nostra azienda opera nel settore servizi alle imprese con 4 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
N.S. S.r.l.,S.r.l.,Metalmeccanica,1996,47216920533,Micro impresa,8,0.64,+39 051 251371,vendite@ns.it,https://www.ns.it,"Via del Lavoro, 148 - 19059 Pescara (PE)",19059,Pescara,PE,"Da oltre 29 anni siamo specializzati nel settore metalmeccanica. La nostra azienda, con sede a Pescara, conta 8 collaboratori e un fatturato di 0.64 milioni di euro."
Legnoprom Società cooperativa,Società cooperativa,Artigianato,2018,57775742940,Micro impresa,5,0.28,+39 049 843537,amministrazione@legnoprom.it,https://www.legnoprom.it,"Viale della Repubblica, 111 - 50129 Firenze (FI)",50129,Firenze,FI,"Fondata nel 2018, la nostra azienda opera nel settore artigianato con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Lazio Plastica S.r.l.,S.r.l.,Manifatturiero,2017,53532410435,Micro impresa,4,1.23,+39 345 3699577,amministrazione@lazioplastica.it,https://www.lazioplastica.it,"Viale delle Nazioni, 50 - 31028 Prato (PO)",31028,Prato,PO,Azienda a conduzione familiare con 8 anni di esperienza nel settore manifatturiero. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 1.23 milioni di euro.
Colombo Legno S.r.l.,S.r.l.,Chimica,2002,76488377279,Micro impresa,4,1.03,+39 045 8761245,colombolegno@outlook.it,,"Viale dell'Indipendenza, 30 - 72051 Pescara (PE)",72051,Pescara,PE,Azienda a conduzione familiare con 23 anni di esperienza nel settore chimica. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 1.03 milioni di euro.
Umbria Impianti S.r.l.,S.r.l.,Chimica,2004,30638702504,Micro impresa,4,1.34,+39 010 678099,amministrazione@umbriaimpianti.it,https://www.umbriaimpianti.it,"Via I Maggio, 199 - 78080 Reggio Emilia (RE)",78080,Reggio Emilia,RE,"Da oltre 21 anni siamo specializzati nel settore chimica. La nostra azienda, con sede a Reggio Emilia, conta 4 collaboratori e un fatturato di 1.34 milioni di euro."
Piemonte Meccanica S.r.l.,S.r.l.,Meccanica,1997,75826647314,Micro impresa,1,0.68,+39 081 3897994,info@piemontemeccanica.it,https://www.piemontemeccanica.it,"Via I Maggio, 12 - 40196 Bologna (BO)",40196,Bologna,BO,Azienda a conduzione familiare con 28 anni di esperienza nel settore meccanica. Siamo una micro impresa con 1 dipendenti e un fatturato annuo di 0.68 milioni di euro.
Termodesign S.r.l.,S.r.l.,Edilizia,2013,78395044979,Micro impresa,9,1.62,+39 011 1146281,amministrazione@termodesign.it,,"Via Roma, 191 - 50114 Firenze (FI)",50114,Firenze,FI,"Realtà imprenditoriale italiana fondata nel 2013, specializzata nel settore edilizia. La nostra struttura conta 9 professionisti qualificati e ha un fatturato di 1.62 milioni di euro."
Colombo Trasporti S.r.l.,S.r.l.,Metalmeccanica,2009,31878132929,Micro impresa,3,0.9,+39 011 5957750,vendite@colombotrasporti.it,https://www.colombotrasporti.it,"Via I Maggio, 137 - 70144 Bari (BA)",70144,Bari,BA,"Da oltre 16 anni siamo specializzati nel settore metalmeccanica. La nostra azienda, con sede a Bari, conta 3 collaboratori e un fatturato di 0.9 milioni di euro."
Esposito e Ferrari S.n.c.,S.n.c.,Legno e arredo,2002,99906912285,Micro impresa,6,1.23,+39 06 3433316,info@espositoeferrari.it,,"Via XX Settembre, 110 - 80124 Napoli (NA)",80124,Napoli,NA,"PMI italiana attiva nel settore legno e arredo dal 2002. Con 6 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Toscana Plastica S.n.c.,S.n.c.,Commercio,1996,22447836114,Micro impresa,5,0.11,+39 011 3128944,info@toscanaplastica.it,https://www.toscanaplastica.it,"Via Milano, 84 - 36091 Venezia (VE)",36091,Venezia,VE,"Fondata nel 1996, la nostra azienda opera nel settore commercio con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Colombo Costruzioni S.r.l.,S.r.l.,Meccanica,2015,92202081954,Micro impresa,7,0.11,+39 329 1854661,vendite@colombocostruzioni.it,https://www.colombocostruzioni.it,"Via Marconi, 88 - 43010 Parma (PR)",43010,Parma,PR,Azienda a conduzione familiare con 10 anni di esperienza nel settore meccanica. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 0.11 milioni di euro.
Piemonte Vetro S.a.s.,S.a.s.,Legno e arredo,1984,12489623239,Micro impresa,9,0.78,+39 049 5847212,piemontevetro@pec.it,,"Viale della Repubblica, 35 - 10187 Torino (TO)",10187,Torino,TO,Azienda a conduzione familiare con 41 anni di esperienza nel settore legno e arredo. Siamo una micro impresa con 9 dipendenti e un fatturato annuo di 0.78 milioni di euro.
Marche Vetro,Ditta individuale,Turismo,2020,32340005924,Micro impresa,8,0.07,+39 340 2511220,contatti@marchevetro.it,https://www.marchevetro.it,"Via Bologna, 91 - 13097 Bolzano (BZ)",13097,Bolzano,BZ,"Da oltre 5 anni siamo specializzati nel settore turismo. La nostra azienda, con sede a Bolzano, conta 8 collaboratori e un fatturato di 0.07 milioni di euro."
Arredoconsulting S.r.l.,S.r.l.,Artigianato,2023,69733082537,Micro impresa,2,1.08,+39 010 7567843,ufficio@arredoconsulting.it,https://www.arredoconsulting.it,"Via IV Novembre, 38 - 25048 Prato (PO)",25048,Prato,PO,"Da oltre 2 anni siamo specializzati nel settore artigianato. La nostra azienda, con sede a Prato, conta 2 collaboratori e un fatturato di 1.08 milioni di euro."
Rossi Edilizia S.r.l.,S.r.l.,Legno e arredo,2016,41666451430,Micro impresa,3,0.3,+39 010 758029,rossiedilizia@libero.it,https://www.rossiedilizia.it,"Viale delle Nazioni, 177 - 30067 Varese (VA)",30067,Varese,VA,"Realtà imprenditoriale italiana fondata nel 2016, specializzata nel settore legno e arredo. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 0.3 milioni di euro."
Metalsolutions S.n.c.,S.n.c.,Agricoltura,1998,60764579221,Micro impresa,2,0.54,+39 388 4412058,info@metalsolutions.it,https://www.metalsolutions.it,"Via Venezia, 41 - 89074 Ancona (AN)",89074,Ancona,AN,"Fondata nel 1998, la nostra azienda opera nel settore agricoltura con 2 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Legnoconsulting S.n.c.,S.n.c.,Edilizia,2008,09806113079,Micro impresa,2,1.73,+39 051 7983744,amministrazione@legnoconsulting.it,https://www.legnoconsulting.it,"Viale dell'Indipendenza, 106 - 20124 Milano (MI)",20124,Milano,MI,Azienda a conduzione familiare con 17 anni di esperienza nel settore edilizia. Siamo una micro impresa con 2 dipendenti e un fatturato annuo di 1.73 milioni di euro.
Arredoitalia Società cooperativa,Società cooperativa,Manifatturiero,2010,12594702785,Micro impresa,4,1.58,+39 055 9555876,amministrazione@arredoitalia.it,https://www.arredoitalia.it,"Via Marconi, 167 - 92078 Bergamo (BG)",92078,Bergamo,BG,"PMI italiana attiva nel settore manifatturiero dal 2010. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Cartamec S.r.l.,S.r.l.,Servizi alla persona,2017,80961061776,Micro impresa,3,1.79,+39 360 9106139,amministrazione@cartamec.it,https://www.cartamec.it,"Via Dante, 82 - 65092 Modena (MO)",65092,Modena,MO,"Fondata nel 2017, la nostra azienda opera nel settore servizi alla persona con 3 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Romano e Lombardi S.r.l.,S.r.l.,Plastica,2021,99199222515,Micro impresa,5,1.15,+39 06 6172245,contatti@romanoelombardi.it,https://www.romanoelombardi.it,"Via del Lavoro, 57 - 20123 Milano (MI)",20123,Milano,MI,Azienda a conduzione familiare con 4 anni di esperienza nel settore plastica. Siamo una micro impresa con 5 dipendenti e un fatturato annuo di 1.15 milioni di euro.
Emilia Plastica Società cooperativa,Società cooperativa,Alimentare,2009,07363354918,Micro impresa,1,0.89,+39 329 9897917,ufficio@emiliaplastica.it,https://www.emiliaplastica.it,"Via Fermi, 29 - 35115 Padova (PD)",35115,Padova,PD,"Fondata nel 2009, la nostra azienda opera nel settore alimentare con 1 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Legnocomponents S.r.l.,S.r.l.,Artigianato,1985,12260481807,Micro impresa,3,0.89,+39 091 1776257,vendite@legnocomponents.it,https://www.legnocomponents.it,"Via delle Industrie, 102 - 85078 Pescara (PE)",85078,Pescara,PE,"Fondata nel 1985, la nostra azienda opera nel settore artigianato con 3 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Bruno Servizi S.a.s.,S.a.s.,Artigianato,1998,67244056030,Piccola impresa,29,4.83,+39 392 8904550,info@brunoservizi.it,,"Via Galilei, 67 - 68072 Bergamo (BG)",68072,Bergamo,BG,"Fondata nel 1998, la nostra azienda opera nel settore artigianato con 29 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Moretti-Moretti S.r.l.,S.r.l.,ICT,2008,40322010004,Micro impresa,8,0.73,+39 011 6172072,ufficio@morettimoretti.it,https://www.morettimoretti.it,"Via Bologna, 108 - 35121 Padova (PD)",35121,Padova,PD,"Da oltre 17 anni siamo specializzati nel settore ict. La nostra azienda, con sede a Padova, conta 8 collaboratori e un fatturato di 0.73 milioni di euro."
Bruno Servizi S.r.l.,S.r.l.,Legno e arredo,2019,36693418402,Micro impresa,3,0.37,+39 045 2391639,ufficio@brunoservizi.it,https://www.brunoservizi.it,"Viale delle Nazioni, 195 - 70165 Bari (BA)",70165,Bari,BA,"PMI italiana attiva nel settore legno e arredo dal 2019. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Alimentenergy S.r.l.,S.r.l.,Edilizia,2018,92631148387,Micro impresa,5,0.8,+39 049 6870243,amministrazione@alimentenergy.it,https://www.alimentenergy.it,"Via del Lavoro, 133 - 70172 Bari (BA)",70172,Bari,BA,"Fondata nel 2018, la nostra azienda opera nel settore edilizia con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Gallo e Gallo S.n.c.,S.n.c.,Artigianato,2024,02939623330,Micro impresa,6,0.81,+39 051 7043195,ufficio@galloegallo.it,https://www.galloegallo.it,"Via Roma, 141 - 50066 Udine (UD)",50066,Udine,UD,"PMI italiana attiva nel settore artigianato dal 2024. Con 6 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Romano-Mancini S.r.l.,S.r.l.,Legno e arredo,2012,63350220340,Micro impresa,9,1.44,+39 049 4482182,amministrazione@romanomancini.it,https://www.romanomancini.it,"Via Torino, 134 - 98022 Monza (MB)",98022,Monza,MB,Azienda a conduzione familiare con 13 anni di esperienza nel settore legno e arredo. Siamo una micro impresa con 9 dipendenti e un fatturato annuo di 1.44 milioni di euro.
Piemonte Metalli S.r.l.,S.r.l.,Servizi alle imprese,2020,57101078580,Micro impresa,4,0.84,+39 055 354841,amministrazione@piemontemetalli.it,https://www.piemontemetalli.it,"Via Torino, 175 - 75077 Catania (CT)",75077,Catania,CT,"Fondata nel 2020, la nostra azienda opera nel settore servizi alle imprese con 4 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Colombo - Romano S.a.s.,S.a.s.,Edilizia,2023,96178001094,Micro impresa,8,1.21,+39 045 7201320,colomboromano@virgilio.it,https://www.colomboromano.it,"Viale della Repubblica, 169 - 24040 Vicenza (VI)",24040,Vicenza,VI,"Realtà imprenditoriale italiana fondata nel 2023, specializzata nel settore edilizia. La nostra struttura conta 8 professionisti qualificati e ha un fatturato di 1.21 milioni di euro."
Veneto Legno S.a.s.,S.a.s.,Metalmeccanica,2013,62356665324,Micro impresa,6,1.47,+39 011 4034666,vendite@venetolegno.it,https://www.venetolegno.it,"Viale delle Nazioni, 90 - 73057 Bolzano (BZ)",73057,Bolzano,BZ,"Realtà imprenditoriale italiana fondata nel 2013, specializzata nel settore metalmeccanica. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 1.47 milioni di euro."
Barbieri e Moretti S.n.c.,S.n.c.,ICT,2019,21897805006,Micro impresa,4,1.28,+39 06 4053471,barbieriemoretti@outlook.it,https://www.barbieriemoretti.it,"Via II Giugno, 110 - 35194 Padova (PD)",35194,Padova,PD,"Da oltre 6 anni siamo specializzati nel settore ict. La nostra azienda, con sede a Padova, conta 4 collaboratori e un fatturato di 1.28 milioni di euro."
M.B.S.O. S.r.l.,S.r.l.,Legno e arredo,2011,32244376177,Piccola impresa,45,6.37,+39 360 5598763,vendite@mbso.it,,"Via del Lavoro, 63 - 84049 Treviso (TV)",84049,Treviso,TV,"PMI italiana attiva nel settore legno e arredo dal 2011. Con 45 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Metalproject S.r.l.,S.r.l.,Metalmeccanica,2012,75281315257,Micro impresa,5,1.3,+39 320 8397374,amministrazione@metalproject.it,https://www.metalproject.it,"Via Marconi, 132 - 61017 Trento (TN)",61017,Trento,TN,"Fondata nel 2012, la nostra azienda opera nel settore metalmeccanica con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Y.N.L. S.r.l.,S.r.l.,Servizi alle imprese,2008,86121854524,Micro impresa,6,1.99,+39 010 2931003,ynl@libero.it,https://www.ynl.it,"Via delle Industrie, 5 - 92035 Cagliari (CA)",92035,Cagliari,CA,Azienda a conduzione familiare con 17 anni di esperienza nel settore servizi alle imprese. Siamo una micro impresa con 6 dipendenti e un fatturato annuo di 1.99 milioni di euro.
Bruno - Gallo Società cooperativa,Società cooperativa,Metalmeccanica,2020,23255513272,Micro impresa,7,0.34,+39 049 3011007,info@brunogallo.it,https://www.brunogallo.it,"Via Torino, 113 - 68013 Parma (PR)",68013,Parma,PR,"Realtà imprenditoriale italiana fondata nel 2020, specializzata nel settore metalmeccanica. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 0.34 milioni di euro."
U.L.M.,Ditta individuale,Meccanica,2017,35576887561,Piccola impresa,42,8.53,+39 045 8250379,ulm@hotmail.it,https://www.ulm.it,"Via Mazzini, 96 - 91043 Udine (UD)",91043,Udine,UD,"Realtà imprenditoriale italiana fondata nel 2017, specializzata nel settore meccanica. La nostra struttura conta 42 professionisti qualificati e ha un fatturato di 8.53 milioni di euro."
Idromec S.a.s.,S.a.s.,Plastica,2015,13842381344,Micro impresa,2,0.63,+39 055 2674656,contatti@idromec.it,https://www.idromec.it,"Via del Lavoro, 22 - 82083 Pescara (PE)",82083,Pescara,PE,"Realtà imprenditoriale italiana fondata nel 2015, specializzata nel settore plastica. La nostra struttura conta 2 professionisti qualificati e ha un fatturato di 0.63 milioni di euro."
Conti & Romano S.n.c.,S.n.c.,Plastica,2006,69878640159,Micro impresa,1,0.77,+39 081 965525,amministrazione@contieromano.it,https://www.contieromano.it,"Via XX Settembre, 153 - 95044 Prato (PO)",95044,Prato,PO,"Da oltre 19 anni siamo specializzati nel settore plastica. La nostra azienda, con sede a Prato, conta 1 collaboratori e un fatturato di 0.77 milioni di euro."
Marino Trasporti S.n.c.,S.n.c.,Commercio,2023,95538761594,Micro impresa,8,0.85,+39 011 8491546,info@marinotrasporti.it,https://www.marinotrasporti.it,"Via Milano, 127 - 35151 Padova (PD)",35151,Padova,PD,"Da oltre 2 anni siamo specializzati nel settore commercio. La nostra azienda, con sede a Padova, conta 8 collaboratori e un fatturato di 0.85 milioni di euro."
