Ragione Sociale,Forma Giuridica,Settore,Indirizzo,Città,Provincia,Email,Telefono,Cellulare,Sito Web,Anno Fondazione,Dipendenti,Fatturato,Descrizione,Stato,Data contatto,Data risposta,Note
MediTechnologies,Cooperativa,Logistica,"Via Venezia, 87, Acireale, Catania",Acireale,Catania,info@meditechnologies.com,055 751649,390 2003014,www.meditechnologies.org,1973,198,237718,PMI in crescita specializzata in prodotti e servizi logistica di alta qualità.,Non contattato,,,
Mancini Servizi,Ditta Individuale,Ristorazione,"Via Cavour, 117, Acireale, Catania",Acireale,Catania,manciniservizi@group.it,051 609316,,www.manciniservizi.it,1985,39,399063,PMI specializzata in soluzioni ristorazione per il mercato italiano ed europeo.,Non contattato,,,
Giordano Arredamento,S.a.s.,Commercio,"Corso Italia, 111, Cagliari, Cagliari",Cagliari,Cagliari,info@giordanoarredamento.com,041 419665,360 9413509,www.giordanoarredamento.it,1973,93,2200638,Azienda innovativa nel campo commercio con un team di professionisti qualificati.,Non contattato,,,
WebConsulting,Ditta Individuale,Consulenza,"Via Marconi, 57, Tivoli, Roma",Tivoli,Roma,webconsulting@tech.it,02 5144735,340 6838130,www.webconsulting.eu,1984,250,42976479,Forniamo soluzioni personalizzate per il settore consulenza a piccole e medie imprese.,Non contattato,,,
GreenNetwork,S.r.l.,Farmaceutico,"Via Palermo, 90, Bussolengo, Verona",Bussolengo,Verona,info@greennetwork.it,081 216791,330 5227730,,1981,81,4126011,PMI specializzata in soluzioni farmaceutico per il mercato italiano ed europeo.,Non contattato,,,
Ferrari Immobiliare,Ditta Individuale,Ristorazione,"Via Roma, 105, Firenze, Firenze",Firenze,Firenze,ferrariimmobiliare@libero.it,030 093376,,www.ferrariimmobiliare.it,2006,106,37199212,La nostra missione è fornire eccellenza nel settore ristorazione con un approccio innovativo.,Non contattato,,,
EuroInnovations,Cooperativa,Formazione,"Via Bologna, 112, Cittadella, Padova",Cittadella,Padova,contatti@euroinnovations.it,080 703390,,www.euroinnovations.net,2002,215,29533649,Offriamo servizi e prodotti di alta qualità nel settore formazione dal 2002.,Non contattato,,,
Gallo Chimica,S.p.A.,Edilizia,"Via Cavour, 81, Bologna, Bologna",Bologna,Bologna,contatti@gallochimica.it,06 8134187,,www.gallochimica.net,2002,66,45320781,Realtà consolidata nel panorama edilizia con particolare attenzione alla sostenibilità.,Non contattato,,,
Rizzo Meccanica,S.a.s.,Automotive,"Via Napoli, 104, Castel Maggiore, Bologna",Castel Maggiore,Bologna,contatti@rizzomeccanica.it,080 780224,360 2880195,www.rizzomeccanica.org,1971,57,47643575,Azienda familiare con lunga tradizione nel settore automotive e forte radicamento territoriale.,Non contattato,,,
AeroEnterprise,S.r.l.,Marketing,"Via Vittorio Emanuele, 99, Modena, Modena",Modena,Modena,aeroenterprise@group.it,045 623093,391 5105690,,2023,183,36774931,Dal 2023 operiamo con successo nel settore marketing con clienti in tutta Italia.,Non contattato,,,
Giordano Servizi,S.n.c.,Ristorazione,"Via Roma, 25, Monselice, Padova",Monselice,Padova,giordanoservizi@group.it,011 281873,380 7278581,,1998,11,11937908,Realtà consolidata nel panorama ristorazione con particolare attenzione alla sostenibilità.,Non contattato,,,
EnergyTech,S.a.s.,Immobiliare,"Via Leonardo da Vinci, 132, Capoterra, Cagliari",Capoterra,Cagliari,info@energytech.com,051 090151,380 6181353,www.energytech.net,2000,37,48712038,Azienda leader nel settore immobiliare con focus su innovazione e qualità.,Non contattato,,,
Verdi S.p.A.,S.p.A.,Elettronica,"Via Mazzini, 34, Cagliari, Cagliari",Cagliari,Cagliari,contatti@verdispa.it,045 139796,391 1565989,www.verdispa.net,1981,228,44424637,Dal 1981 operiamo con successo nel settore elettronica con clienti in tutta Italia.,Non contattato,,,
NetProducts,S.r.l.,Energia,"Via Leonardo da Vinci, 8, Villafranca, Verona",Villafranca,Verona,netproducts@outlook.it,030 408394,,www.netproducts.it,2017,127,20391265,PMI specializzata in soluzioni energia per il mercato italiano ed europeo.,Non contattato,,,
Esposito Immobiliare,S.a.s.,Meccanica,"Via Verona, 65, Seriate, Bergamo",Seriate,Bergamo,info@espositoimmobiliare.it,02 0828092,,www.espositoimmobiliare.net,2020,184,16168071,PMI in crescita specializzata in prodotti e servizi meccanica di alta qualità.,Non contattato,,,
Marino S.p.A.,S.r.l.,Turismo,"Via Palermo, 88, Castel Maggiore, Bologna",Castel Maggiore,Bologna,marinospa@hotmail.com,049 735304,370 5081155,www.marinospa.eu,1984,179,45814050,Forniamo soluzioni personalizzate per il settore turismo a piccole e medie imprese.,Non contattato,,,
GreenCompany,S.n.c.,Alimentare,"Via Brescia, 115, Ercolano, Napoli",Ercolano,Napoli,contatti@greencompany.it,010 914458,,www.greencompany.eu,2014,62,15151678,Dal 2014 operiamo con successo nel settore alimentare con clienti in tutta Italia.,Non contattato,,,
Ferrari Agricoltura,Cooperativa,Ristorazione,"Via Torino, 138, Rovereto, Trento",Rovereto,Trento,contatti@ferrariagricoltura.it,010 049022,330 6904274,www.ferrariagricoltura.eu,1987,93,49244975,PMI in crescita specializzata in prodotti e servizi ristorazione di alta qualità.,Non contattato,,,
Conti Meccanica,S.r.l.,Marketing,"Via Genova, 29, Montesilvano, Pescara",Montesilvano,Pescara,contatti@contimeccanica.it,049 225932,,www.contimeccanica.it,1973,145,9351080,Forniamo soluzioni personalizzate per il settore marketing a piccole e medie imprese.,Non contattato,,,
Giordano Alimentare,Cooperativa,Elettronica,"Via Venezia, 130, Romano di Lombardia, Bergamo",Romano di Lombardia,Bergamo,contatti@giordanoalimentare.it,06 1831931,,www.giordanoalimentare.it,2013,15,23991689,Dal 2013 operiamo con successo nel settore elettronica con clienti in tutta Italia.,Non contattato,,,
Fontana Tecnologia,S.r.l.,Tessile,"Via Torino, 114, Cittadella, Padova",Cittadella,Padova,fontanatecnologia@enterprise.com,055 873090,,www.fontanatecnologia.it,1970,244,3231574,PMI specializzata in soluzioni tessile per il mercato italiano ed europeo.,Non contattato,,,
Verdi S.n.c.,S.n.c.,Elettronica,"Via Marconi, 13, Quartu Sant'Elena, Cagliari",Quartu Sant'Elena,Cagliari,verdisnc@outlook.it,080 437611,350 7515282,www.verdisnc.eu,2003,183,45967724,Forniamo soluzioni personalizzate per il settore elettronica a piccole e medie imprese.,Non contattato,,,
Bruno S.n.c.,S.a.s.,Arredamento,"Via Vittorio Emanuele, 146, Chiavari, Genova",Chiavari,Genova,info@brunosnc.com,051 392222,,,2005,241,44295562,La nostra missione è fornire eccellenza nel settore arredamento con un approccio innovativo.,Non contattato,,,
Verdi S.a.s.,S.n.c.,Tessile,"Via Palermo, 135, Selargius, Cagliari",Selargius,Cagliari,info@verdisas.it,045 191328,390 8026420,,1978,94,18082304,Azienda leader nel settore tessile con focus su innovazione e qualità.,Non contattato,,,
TechService,Ditta Individuale,Commercio,"Via Bologna, 131, Velletri, Roma",Velletri,Roma,info@techservice.com,02 2221097,340 9391643,www.techservice.eu,1998,149,20844062,La nostra missione è fornire eccellenza nel settore commercio con un approccio innovativo.,Non contattato,,,
Conti Tecnologia,S.p.A.,Design,"Via Garibaldi, 99, Spoleto, Perugia",Spoleto,Perugia,info@contitecnologia.it,055 046727,391 4202968,www.contitecnologia.net,2023,245,15110126,La nostra missione è fornire eccellenza nel settore design con un approccio innovativo.,Non contattato,,,
AeroService,S.n.c.,Tessile,"Via Padova, 135, Tivoli, Roma",Tivoli,Roma,info@aeroservice.com,045 420397,,www.aeroservice.it,1984,75,27387510,Azienda innovativa nel campo tessile con un team di professionisti qualificati.,Non contattato,,,
HydroSystems,S.p.A.,Arredamento,"Via Palermo, 5, Sestri Levante, Genova",Sestri Levante,Genova,info@hydrosystems.it,011 227677,,www.hydrosystems.it,1995,26,43173596,Azienda familiare con lunga tradizione nel settore arredamento e forte radicamento territoriale.,Non contattato,,,
Caruso Consulenza,S.r.l.,Chimica,"Via Venezia, 49, Legnago, Verona",Legnago,Verona,carusoconsulenza@gmail.com,051 492132,380 6051836,www.carusoconsulenza.org,1970,212,24131323,Azienda innovativa nel campo chimica con un team di professionisti qualificati.,Non contattato,,,
Colombo Chimica,Ditta Individuale,Chimica,"Via Leonardo da Vinci, 54, Galatina, Lecce",Galatina,Lecce,info@colombochimica.com,080 439655,360 4453695,,2003,140,1974177,Azienda familiare con lunga tradizione nel settore chimica e forte radicamento territoriale.,Non contattato,,,
Lombardi S.p.A.,S.r.l.,Trasporti,"Via Palermo, 138, Bari, Bari",Bari,Bari,lombardispa@hotmail.com,045 175232,,www.lombardispa.org,2005,169,47724439,Azienda innovativa nel campo trasporti con un team di professionisti qualificati.,Non contattato,,,
Bianchi Tessile,S.r.l.,Trasporti,"Via Palermo, 110, Brescia, Brescia",Brescia,Brescia,info@bianchitessile.com,02 4066162,,www.bianchitessile.net,2001,154,23075017,PMI in crescita specializzata in prodotti e servizi trasporti di alta qualità.,Non contattato,,,
Marino S.r.l.,S.a.s.,Automotive,"Via Marconi, 128, Nardò, Lecce",Nardò,Lecce,info@marinosrl.it,081 179966,390 8677900,www.marinosrl.org,2017,137,10687539,PMI in crescita specializzata in prodotti e servizi automotive di alta qualità.,Non contattato,,,
Rossi Cooperativa,Ditta Individuale,Meccanica,"Via Modena, 114, Galatina, Lecce",Galatina,Lecce,info@rossicooperativa.it,051 594766,330 3685138,www.rossicooperativa.net,1971,94,33063218,Dal 1971 operiamo con successo nel settore meccanica con clienti in tutta Italia.,Non contattato,,,
Esposito S.n.c.,Ditta Individuale,Chimica,"Via Leonardo da Vinci, 101, Chioggia, Venezia",Chioggia,Venezia,espositosnc@pec.it,045 146067,,www.espositosnc.net,2015,71,25764132,PMI specializzata in soluzioni chimica per il mercato italiano ed europeo.,Non contattato,,,
SystemNetwork,S.p.A.,Logistica,"Via Mazzini, 36, Imola, Bologna",Imola,Bologna,info@systemnetwork.it,080 105870,360 9114848,,1977,3,16884057,Forniamo soluzioni personalizzate per il settore logistica a piccole e medie imprese.,Non contattato,,,
HydroEngineering,Ditta Individuale,Ristorazione,"Via Bologna, 47, Tivoli, Roma",Tivoli,Roma,hydroengineering@hotmail.com,02 9852644,,www.hydroengineering.com,2005,125,38217071,PMI specializzata in soluzioni ristorazione per il mercato italiano ed europeo.,Non contattato,,,
Rizzo Chimica,S.a.s.,Ristorazione,"Via Verdi, 114, Afragola, Napoli",Afragola,Napoli,info@rizzochimica.com,051 929234,370 9079054,www.rizzochimica.net,2017,232,23167109,Offriamo servizi e prodotti di alta qualità nel settore ristorazione dal 2017.,Non contattato,,,
Marino Immobiliare,S.r.l.,Automotive,"Via Verdi, 26, Rapallo, Genova",Rapallo,Genova,info@marinoimmobiliare.com,06 1956364,380 4737199,www.marinoimmobiliare.net,1994,19,5949992,Azienda innovativa nel campo automotive con un team di professionisti qualificati.,Non contattato,,,
UniTechnologies,S.n.c.,Logistica,"Via Milano, 117, Sesto Fiorentino, Firenze",Sesto Fiorentino,Firenze,unitechnologies@hotmail.com,030 673479,,www.unitechnologies.it,2009,146,20017111,Offriamo servizi e prodotti di alta qualità nel settore logistica dal 2009.,Non contattato,,,
Romano Servizi,S.r.l.,Automotive,"Via Leonardo da Vinci, 19, Copertino, Lecce",Copertino,Lecce,contatti@romanoservizi.it,049 829226,350 0847891,www.romanoservizi.net,2018,71,43006239,PMI in crescita specializzata in prodotti e servizi automotive di alta qualità.,Non contattato,,,
Caruso S.r.l.,Cooperativa,Marketing,"Via Roma, 44, Assisi, Perugia",Assisi,Perugia,info@carusosrl.com,045 719670,360 8548031,www.carusosrl.eu,2015,126,49456515,Azienda leader nel settore marketing con focus su innovazione e qualità.,Non contattato,,,
Bianchi S.a.s.,S.n.c.,Meccanica,"Via Garibaldi, 140, Misterbianco, Catania",Misterbianco,Catania,bianchisas@pec.it,051 648461,330 1971663,www.bianchisas.org,2016,74,25057476,Offriamo servizi e prodotti di alta qualità nel settore meccanica dal 2016.,Non contattato,,,
TechTech,S.p.A.,Manifatturiero,"Corso Italia, 95, Civitavecchia, Roma",Civitavecchia,Roma,info@techtech.com,02 9828527,380 8038687,,2017,209,11741117,Dal 2017 operiamo con successo nel settore manifatturiero con clienti in tutta Italia.,Non contattato,,,
Ricci Chimica,S.a.s.,Chimica,"Via Leonardo da Vinci, 126, Genova, Genova",Genova,Genova,contatti@riccichimica.it,041 120861,330 4354743,www.riccichimica.com,2009,120,21749705,La nostra missione è fornire eccellenza nel settore chimica con un approccio innovativo.,Non contattato,,,
TeleGroup,S.r.l.,Commercio,"Via Napoli, 59, Langhirano, Parma",Langhirano,Parma,contatti@telegroup.it,080 945888,320 9573837,www.telegroup.com,1978,8,10874634,PMI specializzata in soluzioni commercio per il mercato italiano ed europeo.,Non contattato,,,
Gallo Turismo,S.a.s.,Elettronica,"Via Leonardo da Vinci, 13, Mestre, Venezia",Mestre,Venezia,info@galloturismo.com,055 123788,350 8105944,www.galloturismo.net,1998,243,892012,Realtà consolidata nel panorama elettronica con particolare attenzione alla sostenibilità.,Non contattato,,,
MechDevelopment,Cooperativa,Trasporti,"Corso Italia, 32, Firenze, Firenze",Firenze,Firenze,contatti@mechdevelopment.it,049 332072,,www.mechdevelopment.eu,1981,85,27952150,PMI in crescita specializzata in prodotti e servizi trasporti di alta qualità.,Non contattato,,,
EcoSystems,Ditta Individuale,Edilizia,"Corso Italia, 94, San Bonifacio, Verona",San Bonifacio,Verona,info@ecosystems.it,06 7600684,380 0223582,www.ecosystems.it,1997,84,37944725,La nostra missione è fornire eccellenza nel settore edilizia con un approccio innovativo.,Non contattato,,,
Caruso Chimica,S.n.c.,Meccanica,"Via Torino, 145, Lecce, Lecce",Lecce,Lecce,info@carusochimica.com,011 140458,,,2010,152,1221195,Azienda leader nel settore meccanica con focus su innovazione e qualità.,Non contattato,,,
FoodNetwork,S.a.s.,Elettronica,"Via Torino, 1, Langhirano, Parma",Langhirano,Parma,contatti@foodnetwork.it,080 163222,320 2155392,www.foodnetwork.eu,1981,26,49898577,Azienda leader nel settore elettronica con focus su innovazione e qualità.,Non contattato,,,
Greco Cooperativa,S.p.A.,Alimentare,"Via Vittorio Emanuele, 89, Chiavari, Genova",Chiavari,Genova,info@grecocooperativa.com,02 1412252,,www.grecocooperativa.org,1974,93,40013254,PMI specializzata in soluzioni alimentare per il mercato italiano ed europeo.,Non contattato,,,
Giordano Design,Cooperativa,Ristorazione,"Via Catania, 127, Romano di Lombardia, Bergamo",Romano di Lombardia,Bergamo,giordanodesign@hotmail.com,06 2708332,330 6516544,www.giordanodesign.com,2005,247,43570158,Offriamo servizi e prodotti di alta qualità nel settore ristorazione dal 2005.,Non contattato,,,
Bruno Marketing,S.a.s.,Commercio,"Via Verdi, 52, Formigine, Modena",Formigine,Modena,contatti@brunomarketing.it,06 4219887,,www.brunomarketing.eu,1970,95,5202937,PMI specializzata in soluzioni commercio per il mercato italiano ed europeo.,Non contattato,,,
EnergySystems,S.n.c.,Elettronica,"Corso Italia, 129, Anzio, Roma",Anzio,Roma,info@energysystems.it,051 049345,,www.energysystems.it,2023,131,25933675,Azienda innovativa nel campo elettronica con un team di professionisti qualificati.,Non contattato,,,
ProManufacturing,Ditta Individuale,Logistica,"Via Garibaldi, 18, Arco, Trento",Arco,Trento,contatti@promanufacturing.it,080 047881,,,1996,180,20957297,Dal 1996 operiamo con successo nel settore logistica con clienti in tutta Italia.,Non contattato,,,
GeoConsulting,S.a.s.,Manifatturiero,"Via Venezia, 149, Monopoli, Bari",Monopoli,Bari,info@geoconsulting.it,080 843007,350 8030485,www.geoconsulting.org,1971,41,12629575,Azienda innovativa nel campo manifatturiero con un team di professionisti qualificati.,Non contattato,,,
Caruso Marketing,S.n.c.,Alimentare,"Via Cavour, 41, Lodi, Milano",Lodi,Milano,carusomarketing@enterprise.com,049 643257,,www.carusomarketing.org,2004,4,7329152,Offriamo servizi e prodotti di alta qualità nel settore alimentare dal 2004.,Non contattato,,,
Mancini Marketing,Ditta Individuale,Marketing,"Via Bologna, 20, Carini, Palermo",Carini,Palermo,info@mancinimarketing.it,051 221049,370 9462711,www.mancinimarketing.com,1988,224,26559602,Azienda leader nel settore marketing con focus su innovazione e qualità.,Non contattato,,,
Ricci S.r.l.,S.p.A.,Marketing,"Via Dante, 136, Lecce, Lecce",Lecce,Lecce,info@riccisrl.com,041 272117,330 4979259,www.riccisrl.eu,1988,203,27714097,Azienda innovativa nel campo marketing con un team di professionisti qualificati.,Non contattato,,,
InfoInnovations,S.r.l.,Energia,"Via Palermo, 67, Casalecchio, Bologna",Casalecchio,Bologna,contatti@infoinnovations.it,055 915296,391 6009190,www.infoinnovations.org,2010,118,30541998,Azienda familiare con lunga tradizione nel settore energia e forte radicamento territoriale.,Non contattato,,,
Rizzo S.r.l.,S.r.l.,Meccanica,"Via Modena, 148, Villafranca, Verona",Villafranca,Verona,info@rizzosrl.it,02 4864300,,,1989,158,26608175,Realtà consolidata nel panorama meccanica con particolare attenzione alla sostenibilità.,Non contattato,,,
WebIndustries,S.n.c.,Meccanica,"Via Brescia, 106, Monselice, Padova",Monselice,Padova,info@webindustries.it,081 596846,320 4564765,www.webindustries.it,1999,233,28530364,Azienda familiare con lunga tradizione nel settore meccanica e forte radicamento territoriale.,Non contattato,,,
ItalConsulting,S.a.s.,Immobiliare,"Via Bari, 23, Adrano, Catania",Adrano,Catania,italconsulting@gmail.com,06 0638708,390 7644892,www.italconsulting.net,2023,132,37415313,Forniamo soluzioni personalizzate per il settore immobiliare a piccole e medie imprese.,Non contattato,,,
TechSolutions,S.a.s.,Servizi,"Via Bologna, 148, Brescia, Brescia",Brescia,Brescia,contatti@techsolutions.it,041 223648,,,2003,197,19099120,Dal 2003 operiamo con successo nel settore servizi con clienti in tutta Italia.,Non contattato,,,
Gallo Meccanica,Ditta Individuale,Servizi,"Via Leonardo da Vinci, 62, Bitonto, Bari",Bitonto,Bari,contatti@gallomeccanica.it,011 734051,,,1994,104,21619329,Offriamo servizi e prodotti di alta qualità nel settore servizi dal 1994.,Non contattato,,,
Caruso S.p.A.,S.p.A.,Agricoltura,"Via Verona, 34, Formigine, Modena",Formigine,Modena,contatti@carusospa.it,051 104379,,www.carusospa.it,2016,75,12978401,Forniamo soluzioni personalizzate per il settore agricoltura a piccole e medie imprese.,Non contattato,,,
Costa S.a.s.,Ditta Individuale,Energia,"Via Marconi, 81, Sestri Levante, Genova",Sestri Levante,Genova,contatti@costasas.it,010 388122,340 0403493,,1981,77,25581181,Azienda familiare con lunga tradizione nel settore energia e forte radicamento territoriale.,Non contattato,,,
DataService,S.n.c.,Energia,"Via Dante, 7, Bagheria, Palermo",Bagheria,Palermo,contatti@dataservice.it,010 714270,320 4180795,www.dataservice.org,2003,207,36394690,PMI specializzata in soluzioni energia per il mercato italiano ed europeo.,Non contattato,,,
EnergyEnterprise,S.p.A.,Chimica,"Via Garibaldi, 139, Rapallo, Genova",Rapallo,Genova,info@energyenterprise.it,081 237656,,www.energyenterprise.com,2020,210,40894415,Dal 2020 operiamo con successo nel settore chimica con clienti in tutta Italia.,Non contattato,,,
Fontana S.r.l.,Ditta Individuale,Formazione,"Via Brescia, 62, San Lazzaro, Bologna",San Lazzaro,Bologna,contatti@fontanasrl.it,051 507459,,,1977,180,36168486,PMI specializzata in soluzioni formazione per il mercato italiano ed europeo.,Non contattato,,,
Moretti Agricoltura,Cooperativa,Alimentare,"Via Venezia, 111, Palermo, Palermo",Palermo,Palermo,info@morettiagricoltura.it,06 6410105,,www.morettiagricoltura.net,1978,146,23915878,Realtà consolidata nel panorama alimentare con particolare attenzione alla sostenibilità.,Non contattato,,,
Caruso Meccanica,Ditta Individuale,Formazione,"Via Torino, 59, Senigallia, Ancona",Senigallia,Ancona,info@carusomeccanica.it,030 212379,320 9144169,,1977,184,1569793,La nostra missione è fornire eccellenza nel settore formazione con un approccio innovativo.,Non contattato,,,
Rossi Energia,S.r.l.,Tessile,"Via Venezia, 21, Ancona, Ancona",Ancona,Ancona,rossienergia@gmail.com,049 339967,,www.rossienergia.com,2001,130,4396863,Azienda innovativa nel campo tessile con un team di professionisti qualificati.,Non contattato,,,
Mancini S.p.A.,S.n.c.,Trasporti,"Via Cavour, 80, Ercolano, Napoli",Ercolano,Napoli,contatti@mancinispa.it,011 701725,370 0579094,www.mancinispa.eu,1996,244,16485431,Azienda leader nel settore trasporti con focus su innovazione e qualità.,Non contattato,,,
DigitalGroup,Cooperativa,Chimica,"Via Milano, 125, Senigallia, Ancona",Senigallia,Ancona,info@digitalgroup.it,06 5049164,,www.digitalgroup.eu,1996,93,46035030,Azienda leader nel settore chimica con focus su innovazione e qualità.,Non contattato,,,
Caruso Farmaceutico,S.r.l.,Formazione,"Via Catania, 38, Mestre, Venezia",Mestre,Venezia,info@carusofarmaceutico.com,055 983115,,,1987,70,44387993,PMI in crescita specializzata in prodotti e servizi formazione di alta qualità.,Non contattato,,,
ElectroServices,S.n.c.,Elettronica,"Via Roma, 87, Catania, Catania",Catania,Catania,info@electroservices.it,041 312576,,,1997,116,27899596,La nostra missione è fornire eccellenza nel settore elettronica con un approccio innovativo.,Non contattato,,,
Gallo Commercio,S.a.s.,Elettronica,"Via Bari, 59, Bagheria, Palermo",Bagheria,Palermo,info@gallocommercio.com,051 154269,390 7824754,www.gallocommercio.com,1987,172,2898902,La nostra missione è fornire eccellenza nel settore elettronica con un approccio innovativo.,Non contattato,,,
Verdi Turismo,Ditta Individuale,Immobiliare,"Via Roma, 127, Carini, Palermo",Carini,Palermo,contatti@verditurismo.it,010 131503,360 9746018,www.verditurismo.it,2011,234,21324759,PMI specializzata in soluzioni immobiliare per il mercato italiano ed europeo.,Non contattato,,,
Marino S.n.c.,Ditta Individuale,Automotive,"Via Mazzini, 132, Pozzuoli, Napoli",Pozzuoli,Napoli,marinosnc@gmail.com,02 1363520,,,2017,104,5858117,PMI in crescita specializzata in prodotti e servizi automotive di alta qualità.,Non contattato,,,
SoftInternational,S.a.s.,Logistica,"Via Roma, 104, Osimo, Ancona",Osimo,Ancona,softinternational@enterprise.com,055 622161,390 3103338,www.softinternational.eu,2001,106,4940637,PMI in crescita specializzata in prodotti e servizi logistica di alta qualità.,Non contattato,,,
InfoGroup,S.a.s.,Arredamento,"Via Mazzini, 86, Quartu Sant'Elena, Cagliari",Quartu Sant'Elena,Cagliari,contatti@infogroup.it,080 391171,370 4479078,,1988,209,27954474,PMI specializzata in soluzioni arredamento per il mercato italiano ed europeo.,Non contattato,,,
ElectroIndustries,S.a.s.,Design,"Via Brescia, 29, Sesto San Giovanni, Milano",Sesto San Giovanni,Milano,info@electroindustries.com,010 396974,,www.electroindustries.eu,1985,165,48634020,Azienda leader nel settore design con focus su innovazione e qualità.,Non contattato,,,
EuroInternational,S.p.A.,Ristorazione,"Via Leonardo da Vinci, 37, Castelfranco Emilia, Modena",Castelfranco Emilia,Modena,info@eurointernational.com,041 381444,,www.eurointernational.net,2009,111,32694047,La nostra missione è fornire eccellenza nel settore ristorazione con un approccio innovativo.,Non contattato,,,
Ferrari Tessile,S.p.A.,Meccanica,"Via Milano, 137, Legnago, Verona",Legnago,Verona,info@ferraritessile.it,049 643977,,www.ferraritessile.com,1979,174,27064087,Azienda familiare con lunga tradizione nel settore meccanica e forte radicamento territoriale.,Non contattato,,,
Costa S.n.c.,Cooperativa,Tessile,"Via Dante, 146, Salsomaggiore, Parma",Salsomaggiore,Parma,costasnc@gmail.com,010 534370,360 7716830,www.costasnc.it,1972,168,35018963,PMI specializzata in soluzioni tessile per il mercato italiano ed europeo.,Non contattato,,,
FoodTech,Ditta Individuale,Alimentare,"Via Napoli, 130, Rovereto, Trento",Rovereto,Trento,info@foodtech.com,080 123249,360 3049785,www.foodtech.org,1993,216,47044010,Dal 1993 operiamo con successo nel settore alimentare con clienti in tutta Italia.,Non contattato,,,
LogicNetwork,S.p.A.,Chimica,"Via Milano, 127, Jesi, Ancona",Jesi,Ancona,info@logicnetwork.com,045 073984,,www.logicnetwork.net,1990,178,2956013,Dal 1990 operiamo con successo nel settore chimica con clienti in tutta Italia.,Non contattato,,,
Greco Arredamento,S.p.A.,Marketing,"Via Verona, 97, Rapallo, Genova",Rapallo,Genova,contatti@grecoarredamento.it,010 689651,,,1993,61,21862424,Dal 1993 operiamo con successo nel settore marketing con clienti in tutta Italia.,Non contattato,,,
Ricci Arredamento,Ditta Individuale,Meccanica,"Via Garibaldi, 28, Senigallia, Ancona",Senigallia,Ancona,ricciarredamento@business.it,041 953228,390 5854811,www.ricciarredamento.org,1972,7,28991400,Dal 1972 operiamo con successo nel settore meccanica con clienti in tutta Italia.,Non contattato,,,
Greco Formazione,S.p.A.,Commercio,"Via Genova, 9, Jesolo, Venezia",Jesolo,Venezia,info@grecoformazione.it,080 445375,390 1768374,www.grecoformazione.com,1997,57,19235523,Forniamo soluzioni personalizzate per il settore commercio a piccole e medie imprese.,Non contattato,,,
Marino Commercio,S.p.A.,Tessile,"Via Dante, 96, Galatina, Lecce",Galatina,Lecce,contatti@marinocommercio.it,081 067247,,www.marinocommercio.it,1985,185,104236,PMI in crescita specializzata in prodotti e servizi tessile di alta qualità.,Non contattato,,,
Mancini S.n.c.,S.a.s.,Commercio,"Via Bari, 106, Monza, Milano",Monza,Milano,info@mancinisnc.com,055 702818,,www.mancinisnc.net,1979,232,8525026,Offriamo servizi e prodotti di alta qualità nel settore commercio dal 1979.,Non contattato,,,
Caruso Design,S.r.l.,Manifatturiero,"Via Leonardo da Vinci, 72, Anzio, Roma",Anzio,Roma,info@carusodesign.it,045 306868,,,2009,197,8733323,Azienda innovativa nel campo manifatturiero con un team di professionisti qualificati.,Non contattato,,,
Fontana Elettronica,S.p.A.,Elettronica,"Corso Italia, 40, Fidenza, Parma",Fidenza,Parma,info@fontanaelettronica.it,080 516650,,www.fontanaelettronica.eu,1982,78,45566078,Realtà consolidata nel panorama elettronica con particolare attenzione alla sostenibilità.,Non contattato,,,
EcoNetwork,S.n.c.,Manifatturiero,"Corso Italia, 86, Bressanone, Bolzano",Bressanone,Bolzano,contatti@econetwork.it,041 757964,,www.econetwork.eu,1985,170,19301479,PMI specializzata in soluzioni manifatturiero per il mercato italiano ed europeo.,Non contattato,,,
Ferrari S.a.s.,Cooperativa,Turismo,"Via Vittorio Emanuele, 28, Imola, Bologna",Imola,Bologna,info@ferrarisas.it,010 697248,391 9407995,www.ferrarisas.it,1992,47,46633363,La nostra missione è fornire eccellenza nel settore turismo con un approccio innovativo.,Non contattato,,,
HydroService,S.p.A.,Turismo,"Via Padova, 38, Chioggia, Venezia",Chioggia,Venezia,info@hydroservice.it,030 412259,390 8603321,www.hydroservice.eu,2015,73,15726740,Azienda innovativa nel campo turismo con un team di professionisti qualificati.,Non contattato,,,
SoftPartners,Ditta Individuale,Trasporti,"Via Milano, 88, Città Sant'Angelo, Pescara",Città Sant'Angelo,Pescara,contatti@softpartners.it,011 191725,,www.softpartners.it,1991,209,41592114,Azienda familiare con lunga tradizione nel settore trasporti e forte radicamento territoriale.,Non contattato,,,
SmartPartners,S.p.A.,Immobiliare,"Via Catania, 23, Dalmine, Bergamo",Dalmine,Bergamo,info@smartpartners.it,049 487437,391 2168675,www.smartpartners.it,1974,217,36672468,Forniamo soluzioni personalizzate per il settore immobiliare a piccole e medie imprese.,Non contattato,,,
Conti Cooperativa,Ditta Individuale,Logistica,"Via Catania, 95, Verona, Verona",Verona,Verona,contatti@conticooperativa.it,02 9856212,,www.conticooperativa.net,1992,47,16114443,PMI in crescita specializzata in prodotti e servizi logistica di alta qualità.,Non contattato,,,
Greco Commercio,Ditta Individuale,Marketing,"Via Milano, 22, Formigine, Modena",Formigine,Modena,contatti@grecocommercio.it,055 824446,,www.grecocommercio.com,1981,31,46207823,Forniamo soluzioni personalizzate per il settore marketing a piccole e medie imprese.,Non contattato,,,
